2021-05-05 13:17:46 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (12ed45a2abfc32d887d73fdc4facd5d6)] -> id: password-login]
2021-05-05 13:17:54 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (12ed45a2abfc32d887d73fdc4facd5d6)] -> class name: ProfileButton-avatar]
2021-05-05 13:17:55 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (12ed45a2abfc32d887d73fdc4facd5d6)] -> class name: OnboardingTrackerActions-actionIcon]
2021-05-05 13:17:55 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (12ed45a2abfc32d887d73fdc4facd5d6)] -> xpath: //*[text()='New']]
2021-05-05 13:19:11 INFO  : pages.LoginPage :50 - Click on login button in home page
2021-05-05 13:19:11 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (06c46d816c14c1bacf3bbf35a1f4d4bd)] -> id: login-email]
2021-05-05 13:19:18 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (06c46d816c14c1bacf3bbf35a1f4d4bd)] -> id: password-login]
2021-05-05 13:19:22 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (06c46d816c14c1bacf3bbf35a1f4d4bd)] -> class name: ProfileButton-avatar]
2021-05-05 13:19:24 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (06c46d816c14c1bacf3bbf35a1f4d4bd)] -> class name: OnboardingTrackerActions-actionIcon]
2021-05-05 13:19:24 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (06c46d816c14c1bacf3bbf35a1f4d4bd)] -> class name: UnifiedNewDropdownMenuToggleButton-label]
2021-05-05 13:20:46 INFO  : pages.LoginPage :50 - Click on login button in home page
2021-05-05 13:20:46 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (09c13e4fe50c63a482295d9219e52654)] -> id: login-email]
2021-05-05 13:20:52 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (09c13e4fe50c63a482295d9219e52654)] -> id: password-login]
2021-05-05 13:20:57 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (09c13e4fe50c63a482295d9219e52654)] -> class name: ProfileButton-avatar]
2021-05-05 13:20:59 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (09c13e4fe50c63a482295d9219e52654)] -> class name: OnboardingTrackerActions-actionIcon]
2021-05-05 13:21:04 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (09c13e4fe50c63a482295d9219e52654)] -> id: menubutton28]
2021-05-05 13:22:48 INFO  : pages.LoginPage :50 - Click on login button in home page
2021-05-05 13:22:49 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (a78e5fb5a34b6c94dc4060a8e8a56597)] -> id: login-email]
2021-05-05 13:22:55 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (a78e5fb5a34b6c94dc4060a8e8a56597)] -> id: password-login]
2021-05-05 13:23:01 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (a78e5fb5a34b6c94dc4060a8e8a56597)] -> class name: ProfileButton-avatar]
2021-05-05 13:23:02 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (a78e5fb5a34b6c94dc4060a8e8a56597)] -> class name: OnboardingTrackerActions-actionIcon]
2021-05-05 13:23:07 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (a78e5fb5a34b6c94dc4060a8e8a56597)] -> xpath: //*[text()='New']]
2021-05-05 13:26:00 INFO  : pages.LoginPage :50 - Click on login button in home page
2021-05-05 13:26:00 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (e4cd54607c14b56cda9b622e49985595)] -> id: login-email]
2021-05-05 13:26:07 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (e4cd54607c14b56cda9b622e49985595)] -> id: password-login]
2021-05-05 13:26:14 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (e4cd54607c14b56cda9b622e49985595)] -> class name: ProfileButton-avatar]
2021-05-05 13:26:15 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (e4cd54607c14b56cda9b622e49985595)] -> class name: OnboardingTrackerActions-actionIcon]
2021-05-05 13:26:20 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (e4cd54607c14b56cda9b622e49985595)] -> xpath: //*[text()='New']]
2021-05-05 13:40:12 INFO  : pages.LoginPage :50 - Click on login button in home page
2021-05-05 13:40:12 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (917500dd78b5997b92e1c30d36592111)] -> id: login-email]
2021-05-05 13:40:18 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (917500dd78b5997b92e1c30d36592111)] -> id: password-login]
2021-05-05 13:40:24 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (917500dd78b5997b92e1c30d36592111)] -> class name: ProfileButton-avatar]
2021-05-05 13:40:25 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (917500dd78b5997b92e1c30d36592111)] -> class name: OnboardingTrackerActions-actionIcon]
2021-05-05 13:40:30 INFO  : generics.DriverFunctionalities :47 - Waited for element to be visible - [[ChromeDriver: chrome on WINDOWS (917500dd78b5997b92e1c30d36592111)] -> xpath: //*[text()='New']]
